 i,   x(i),   F(i)
          66  0.23540808720000003        1.9278556939446576E-003
          67  0.23897487640000004        1.9533364483983648E-003
          68  0.24254166560000004        1.9788172028520718E-003
          69  0.24610845480000001        2.0042979573057784E-003
          70  0.24967524400000002        2.0297787117594854E-003
          71  0.25324203320000005        2.0552594662131924E-003
          72  0.25680882240000003        2.0807402206668994E-003
          73  0.26037561160000006        2.1062209751206065E-003
          74  0.26394240080000003        2.1317017295743130E-003
          75  0.26750919000000001        2.1571824840280200E-003
          76  0.27107597920000004        2.1826632384817270E-003
          77  0.27464276840000001        2.2081439929354340E-003
          78  0.27820955760000005        2.2336247473891415E-003
          79  0.28177634680000002        2.2591055018428476E-003
          80  0.28534313600000005        2.2845862562965551E-003
          81  0.28890992520000003        2.3100670107502616E-003
          82  0.29247671440000006        2.3355477652039691E-003
          83  0.29604350360000004        2.3610285196576761E-003
          84  0.29961029280000001        2.3865092741113822E-003
          85  0.30317708200000004        2.3896110082000000E-003
          86  0.30674387120000002        2.3899676871200000E-003
          87  0.31031066040000005        2.3903243660400001E-003
          88  0.31387744960000002        2.3906810449600001E-003
          89  0.31744423880000006        2.3910377238799997E-003
          90  0.32101102800000003        2.3913944027999998E-003
          91  0.32457781720000006        2.3917510817199998E-003
          92  0.32814460640000004        2.3921077606399999E-003
          93  0.33171139560000001        2.3924644395599999E-003
          94  0.33527818480000005        2.3928211184800000E-003
          95  0.33884497400000002        2.3931777974000000E-003
          96  0.34241176320000005        2.3935344763200000E-003
          97  0.34597855240000003        2.3938911552400001E-003
          98  0.34954534160000006        2.3942478341599997E-003
          99  0.35311213080000003        2.3946045130799998E-003
         100  0.35667892000000007        2.3949611919999998E-003
         101  0.36024570920000004        2.3953178709199999E-003
         102  0.36381249840000002        2.3956745498399999E-003
         103  0.36737928760000005        2.3960312287599999E-003
         104  0.37094607680000002        2.3963879076800000E-003
         105  0.37451286600000006        2.3967445866000000E-003
         106  0.37807965520000003        2.3971012655200001E-003
         107  0.38164644440000006        2.3974579444399997E-003
         108  0.38521323360000004        2.3978146233599998E-003
         109  0.38878002280000007        2.3981713022799998E-003
         110  0.39234681200000004        2.3985279811999998E-003
         111  0.39591360120000002        2.3988846601199999E-003
         112  0.39948039040000005        2.3992413390399999E-003
         113  0.40304717960000003        2.3995980179600000E-003
         114  0.40661396880000006        2.3999546968800000E-003
         115  0.41018075800000003        2.4003113758000001E-003
         116  0.41374754720000007        2.4006680547199997E-003
         117  0.41731433640000004        2.4010247336399997E-003
         118  0.42088112560000007        2.4013814125599998E-003
         119  0.42444791480000005        2.4017380914799998E-003
