 i,   x(i),   Ae(i)
           0   0.0000000000000000        0.0000000000000000     
           1   5.0000000000000001E-003   0.0000000000000000     
           2   1.0000000000000000E-002   5.9439102577227004E-007
           3   1.4999999999999999E-002   2.0293779015445399E-006
           4   2.0000000000000000E-002   4.4938802335173644E-006
           5   2.5000000000000001E-002   8.1471646170347271E-006
           6   2.9999999999999999E-002   1.3129547739394715E-005
           7   3.5000000000000003E-002   1.9567885582586251E-005
           8   4.0000000000000001E-002   2.7578834261499800E-005
           9   4.4999999999999998E-002   3.7270974640413346E-005
          10   5.0000000000000003E-002   4.8746288096643713E-005
          11   5.5000000000000000E-002   6.2101231015078277E-005
          12   5.9999999999999998E-002   7.7427545944753925E-005
          13   6.5000000000000002E-002   9.4812891786830701E-005
          14   7.0000000000000007E-002   1.1434134495000502E-004
          15   7.4999999999999997E-002   1.3609380568539226E-004
          16   8.0000000000000002E-002   1.6014833296473072E-004
          17   8.5000000000000006E-002   1.8658042434715823E-004
          18   8.9999999999999997E-002   2.1546325271176402E-004
          19   9.5000000000000001E-002   2.4686786862636984E-004
          20  0.10000000000000001        2.8086337495526439E-004
          21  0.10500000000000000        3.1751707876184434E-004
          22  0.11000000000000000        3.5689462443642793E-004
          23  0.11500000000000000        3.9906011114579159E-004
          24  0.12000000000000000        4.4407619707372800E-004
          25  0.12500000000000000        4.9200419244332743E-004
          26  0.13000000000000000        5.4290414294178848E-004
          27  0.13500000000000001        5.9683490487936661E-004
          28  0.14000000000000001        6.5385421318554652E-004
          29  0.14499999999999999        7.1401874316316997E-004
          30  0.14999999999999999        7.7738416677445926E-004
          31  0.15500000000000000        8.4400520411368970E-004
          32  0.16000000000000000        9.1393567062380047E-004
          33  0.16500000000000001        9.8722852053391213E-004
          34  0.17000000000000001        1.0639358869281117E-003
          35  0.17500000000000002        1.1441091188003178E-003
          36  0.17999999999999999        1.2277988154033503E-003
          37  0.18500000000000000        1.3150548581610170E-003
          38  0.19000000000000000        1.4059264403785967E-003
          39  0.19500000000000001        1.5004620949586860E-003
          40  0.20000000000000001        1.5987097203049889E-003
          41  0.20500000000000002        1.7007166045757008E-003
          42  0.20999999999999999        1.8065294484300471E-003
          43  0.21500000000000000        1.9161943863958842E-003
          44  0.22000000000000000        2.0297570069726196E-003
          45  0.22500000000000001        2.1472623715718380E-003
          46  0.23000000000000001        2.2687550323875838E-003
          47  0.23500000000000001        2.3942790492791259E-003
          48  0.23999999999999999        2.5238780057409392E-003
          49  0.24500000000000000        2.6575950240275564E-003
          50  0.25000000000000000        2.7954727794945776E-003
          51  0.25500000000000000        2.9375535142116015E-003
          52  0.26000000000000001        3.0838790498977460E-003
          53  0.26500000000000001        3.2344908002260842E-003
          54  0.27000000000000002        3.3894297825392467E-003
          55  0.27500000000000002        3.5487366290149038E-003
          56  0.28000000000000003        3.7124515973166365E-003
          57  0.28500000000000003        3.8806145807627952E-003
          58  0.28999999999999998        4.0532651180433454E-003
          59  0.29499999999999998        4.2304424025123386E-003
          60  0.29999999999999999        4.4121852910815147E-003
          61  0.30499999999999999        4.5985323127385926E-003
          62  0.31000000000000000        4.7895216767120689E-003
          63  0.31500000000000000        4.9851912803027185E-003
          64  0.32000000000000001        5.1855787164005367E-003
          65  0.32500000000000001        5.3907212807045328E-003
          66  0.33000000000000002        5.6006559786615766E-003
          67  0.33500000000000002        5.8154195321393678E-003
          68  0.34000000000000002        6.0350483858475400E-003
          69  0.34500000000000003        6.2595787135200686E-003
          70  0.35000000000000003        6.4890464238711830E-003
          71  0.35499999999999998        6.7234871663362367E-003
          72  0.35999999999999999        6.9629363366082797E-003
          73  0.36499999999999999        7.2074290819803257E-003
          74  0.37000000000000000        7.4570003065027504E-003
          75  0.37500000000000000        7.7116846759646817E-003
          76  0.38000000000000000        7.9715166227076143E-003
          77  0.38500000000000001        8.2365303502791292E-003
          78  0.39000000000000001        8.5067598379339783E-003
          79  0.39500000000000002        8.7822388449895344E-003
          80  0.40000000000000002        9.0630009150420663E-003
          81  0.40500000000000003        9.3490793800499669E-003
          82  0.41000000000000003        9.6405073642898201E-003
          83  0.41500000000000004        9.9373177881906891E-003
          84  0.41999999999999998        1.0239543372051896E-002
          85  0.42499999999999999        1.0547216639649120E-002
          86  0.42999999999999999        1.0860369921733460E-002
          87  0.43500000000000000        1.1179035359427958E-002
          88  0.44000000000000000        1.1503244907525592E-002
          89  0.44500000000000001        1.1833030337692783E-002
          90  0.45000000000000001        1.2168423241582176E-002
          91  0.45500000000000002        1.2509455033858179E-002
          92  0.46000000000000002        1.2856156955138729E-002
          93  0.46500000000000002        1.3208560074856431E-002
          94  0.47000000000000003        1.3566695294042135E-002
          95  0.47500000000000003        1.3930593348033975E-002
          96  0.47999999999999998        1.4300284809114419E-002
          97  0.48499999999999999        1.4675800089078195E-002
          98  0.48999999999999999        1.5057169441733454E-002
          99  0.49500000000000000        1.5444422965338725E-002
         100  0.50000000000000000        1.5837590604977719E-002
         101  0.50500000000000000        1.6236702154874428E-002
         102  0.51000000000000001        1.6640750815309378E-002
         103  0.51500000000000001        1.7049336775786454E-002
         104  0.52000000000000002        1.7462159970341354E-002
         105  0.52500000000000002        1.7878971897092335E-002
         106  0.53000000000000003        1.8299556957182543E-002
         107  0.53500000000000003        1.8723722885201313E-002
         108  0.54000000000000004        1.9151295065179229E-002
         109  0.54500000000000004        1.9582112827778338E-002
         110  0.55000000000000004        2.0016026878849444E-002
         111  0.55500000000000005        2.0452897427643526E-002
         112  0.56000000000000005        2.0892592774166913E-002
         113  0.56500000000000006        2.1334988212053176E-002
         114  0.57000000000000006        2.1779965156391721E-002
         115  0.57500000000000007        2.2227410436858372E-002
         116  0.57999999999999996        2.2677215715409101E-002
         117  0.58499999999999996        2.3129276999862915E-002
         118  0.58999999999999997        2.3583494232663586E-002
         119  0.59499999999999997        2.4039770939529172E-002
         120  0.59999999999999998        2.4498013926476211E-002
         121  0.60499999999999998        2.4958133016403931E-002
         122  0.60999999999999999        2.5420040818385996E-002
         123  0.61499999999999999        2.5883652524271158E-002
         124  0.62000000000000000        2.6348885728287814E-002
         125  0.62500000000000000        2.6815660266182446E-002
         126  0.63000000000000000        2.7283898071065928E-002
         127  0.63500000000000001        2.7753523043647161E-002
         128  0.64000000000000001        2.8224460934930761E-002
         129  0.64500000000000002        2.8696639239774401E-002
         130  0.65000000000000002        2.9169987099956655E-002
         131  0.65500000000000003        2.9644435215614506E-002
         132  0.66000000000000003        3.0119915764079335E-002
         133  0.66500000000000004        3.0596362325280350E-002
         134  0.67000000000000004        3.1073709813000311E-002
         135  0.67500000000000004        3.1551894411365675E-002
         136  0.68000000000000005        3.2030853516034304E-002
         137  0.68500000000000005        3.2510525679612511E-002
         138  0.69000000000000006        3.2990850560891662E-002
         139  0.69500000000000006        3.3471768877543648E-002
         140  0.70000000000000007        3.3953222361957899E-002
         141  0.70499999999999996        3.4435153719937668E-002
         142  0.70999999999999996        3.4917506592006764E-002
         143  0.71499999999999997        3.5400225517103125E-002
